==16550== NVPROF is profiling process 16550, command: ./01
[Vector addition of 1000 elements]
Copy input data from the host memory to the CUDA device
CUDA kernel launch with 8 blocks of 128 threads
Copy output data from the CUDA device to the host memory
threadIdx:(19, 0, 0) blockIdx:(5, 0, 0) blockDim:(128, 1, 1) gridDim:(8, 1, 1)
threadIdx:(20, 0, 0) blockIdx:(5, 0, 0) blockDim:(128, 1, 1) gridDim:(8, 1, 1)
threadIdx:(21, 0, 0) blockIdx:(5, 0, 0) blockDim:(128, 1, 1) gridDim:(8, 1, 1)
threadIdx:(22, 0, 0) blockIdx:(5, 0, 0) blockDim:(128, 1, 1) gridDim:(8, 1, 1)
threadIdx:(23, 0, 0) blockIdx:(5, 0, 0) blockDim:(128, 1, 1) gridDim:(8, 1, 1)
threadIdx:(24, 0, 0) blockIdx:(5, 0, 0) blockDim:(128, 1, 1) gridDim:(8, 1, 1)
threadIdx:(25, 0, 0) blockIdx:(5, 0, 0) blockDim:(128, 1, 1) gridDim:(8, 1, 1)
threadIdx:(26, 0, 0) blockIdx:(5, 0, 0) blockDim:(128, 1, 1) gridDim:(8, 1, 1)
threadIdx:(27, 0, 0) blockIdx:(5, 0, 0) blockDim:(128, 1, 1) gridDim:(8, 1, 1)
threadIdx:(28, 0, 0) blockIdx:(5, 0, 0) blockDim:(128, 1, 1) gridDim:(8, 1, 1)
threadIdx:(29, 0, 0) blockIdx:(5, 0, 0) blockDim:(128, 1, 1) gridDim:(8, 1, 1)
threadIdx:(30, 0, 0) blockIdx:(5, 0, 0) blockDim:(128, 1, 1) gridDim:(8, 1, 1)
threadIdx:(31, 0, 0) blockIdx:(5, 0, 0) blockDim:(128, 1, 1) gridDim:(8, 1, 1)
threadIdx:(32, 0, 0) blockIdx:(5, 0, 0) blockDim:(128, 1, 1) gridDim:(8, 1, 1)
threadIdx:(33, 0, 0) blockIdx:(5, 0, 0) blockDim:(128, 1, 1) gridDim:(8, 1, 1)
threadIdx:(34, 0, 0) blockIdx:(5, 0, 0) blockDim:(128, 1, 1) gridDim:(8, 1, 1)
threadIdx:(35, 0, 0) blockIdx:(5, 0, 0) blockDim:(128, 1, 1) gridDim:(8, 1, 1)
threadIdx:(36, 0, 0) blockIdx:(5, 0, 0) blockDim:(128, 1, 1) gridDim:(8, 1, 1)
threadIdx:(37, 0, 0) blockIdx:(5, 0, 0) blockDim:(128, 1, 1) gridDim:(8, 1, 1)
threadIdx:(38, 0, 0) blockIdx:(5, 0, 0) blockDim:(128, 1, 1) gridDim:(8, 1, 1)
threadIdx:(39, 0, 0) blockIdx:(5, 0, 0) blockDim:(128, 1, 1) gridDim:(8, 1, 1)
threadIdx:(40, 0, 0) blockIdx:(5, 0, 0) blockDim:(128, 1, 1) gridDim:(8, 1, 1)
threadIdx:(41, 0, 0) blockIdx:(5, 0, 0) blockDim:(128, 1, 1) gridDim:(8, 1, 1)
threadIdx:(42, 0, 0) blockIdx:(5, 0, 0) blockDim:(128, 1, 1) gridDim:(8, 1, 1)
threadIdx:(43, 0, 0) blockIdx:(5, 0, 0) blockDim:(128, 1, 1) gridDim:(8, 1, 1)
threadIdx:(44, 0, 0) blockIdx:(5, 0, 0) blockDim:(128, 1, 1) gridDim:(8, 1, 1)
threadIdx:(45, 0, 0) blockIdx:(5, 0, 0) blockDim:(128, 1, 1) gridDim:(8, 1, 1)
threadIdx:(46, 0, 0) blockIdx:(5, 0, 0) blockDim:(128, 1, 1) gridDim:(8, 1, 1)
threadIdx:(47, 0, 0) blockIdx:(5, 0, 0) blockDim:(128, 1, 1) gridDim:(8, 1, 1)
threadIdx:(48, 0, 0) blockIdx:(5, 0, 0) blockDim:(128, 1, 1) gridDim:(8, 1, 1)
threadIdx:(49, 0, 0) blockIdx:(5, 0, 0) blockDim:(128, 1, 1) gridDim:(8, 1, 1)
threadIdx:(50, 0, 0) blockIdx:(5, 0, 0) blockDim:(128, 1, 1) gridDim:(8, 1, 1)
threadIdx:(51, 0, 0) blockIdx:(5, 0, 0) blockDim:(128, 1, 1) gridDim:(8, 1, 1)
threadIdx:(52, 0, 0) blockIdx:(5, 0, 0) blockDim:(128, 1, 1) gridDim:(8, 1, 1)
threadIdx:(53, 0, 0) blockIdx:(5, 0, 0) blockDim:(128, 1, 1) gridDim:(8, 1, 1)
threadIdx:(54, 0, 0) blockIdx:(5, 0, 0) blockDim:(128, 1, 1) gridDim:(8, 1, 1)
threadIdx:(55, 0, 0) blockIdx:(5, 0, 0) blockDim:(128, 1, 1) gridDim:(8, 1, 1)
threadIdx:(56, 0, 0) blockIdx:(5, 0, 0) blockDim:(128, 1, 1) gridDim:(8, 1, 1)
threadIdx:(57, 0, 0) blockIdx:(5, 0, 0) blockDim:(128, 1, 1) gridDim:(8, 1, 1)
threadIdx:(58, 0, 0) blockIdx:(5, 0, 0) blockDim:(128, 1, 1) gridDim:(8, 1, 1)
threadIdx:(59, 0, 0) blockIdx:(5, 0, 0) blockDim:(128, 1, 1) gridDim:(8, 1, 1)
threadIdx:(60, 0, 0) blockIdx:(5, 0, 0) blockDim:(128, 1, 1) gridDim:(8, 1, 1)
threadIdx:(61, 0, 0) blockIdx:(5, 0, 0) blockDim:(128, 1, 1) gridDim:(8, 1, 1)
threadIdx:(62, 0, 0) blockIdx:(5, 0, 0) blockDim:(128, 1, 1) gridDim:(8, 1, 1)
threadIdx:(63, 0, 0) blockIdx:(5, 0, 0) blockDim:(128, 1, 1) gridDim:(8, 1, 1)
threadIdx:(96, 0, 0) blockIdx:(5, 0, 0) blockDim:(128, 1, 1) gridDim:(8, 1, 1)
threadIdx:(97, 0, 0) blockIdx:(5, 0, 0) blockDim:(128, 1, 1) gridDim:(8, 1, 1)
threadIdx:(98, 0, 0) blockIdx:(5, 0, 0) blockDim:(128, 1, 1) gridDim:(8, 1, 1)
threadIdx:(99, 0, 0) blockIdx:(5, 0, 0) blockDim:(128, 1, 1) gridDim:(8, 1, 1)
threadIdx:(100, 0, 0) blockIdx:(5, 0, 0) blockDim:(128, 1, 1) gridDim:(8, 1, 1)
threadIdx:(101, 0, 0) blockIdx:(5, 0, 0) blockDim:(128, 1, 1) gridDim:(8, 1, 1)
threadIdx:(102, 0, 0) blockIdx:(5, 0, 0) blockDim:(128, 1, 1) gridDim:(8, 1, 1)
threadIdx:(103, 0, 0) blockIdx:(5, 0, 0) blockDim:(128, 1, 1) gridDim:(8, 1, 1)
threadIdx:(104, 0, 0) blockIdx:(5, 0, 0) blockDim:(128, 1, 1) gridDim:(8, 1, 1)
threadIdx:(105, 0, 0) blockIdx:(5, 0, 0) blockDim:(128, 1, 1) gridDim:(8, 1, 1)
threadIdx:(106, 0, 0) blockIdx:(5, 0, 0) blockDim:(128, 1, 1) gridDim:(8, 1, 1)
threadIdx:(107, 0, 0) blockIdx:(5, 0, 0) blockDim:(128, 1, 1) gridDim:(8, 1, 1)
threadIdx:(108, 0, 0) blockIdx:(5, 0, 0) blockDim:(128, 1, 1) gridDim:(8, 1, 1)
threadIdx:(109, 0, 0) blockIdx:(5, 0, 0) blockDim:(128, 1, 1) gridDim:(8, 1, 1)
threadIdx:(110, 0, 0) blockIdx:(5, 0, 0) blockDim:(128, 1, 1) gridDim:(8, 1, 1)
threadIdx:(111, 0, 0) blockIdx:(5, 0, 0) blockDim:(128, 1, 1) gridDim:(8, 1, 1)
threadIdx:(112, 0, 0) blockIdx:(5, 0, 0) blockDim:(128, 1, 1) gridDim:(8, 1, 1)
threadIdx:(113, 0, 0) blockIdx:(5, 0, 0) blockDim:(128, 1, 1) gridDim:(8, 1, 1)
threadIdx:(114, 0, 0) blockIdx:(5, 0, 0) blockDim:(128, 1, 1) gridDim:(8, 1, 1)
threadIdx:(115, 0, 0) blockIdx:(5, 0, 0) blockDim:(128, 1, 1) gridDim:(8, 1, 1)
threadIdx:(116, 0, 0) blockIdx:(5, 0, 0) blockDim:(128, 1, 1) gridDim:(8, 1, 1)
threadIdx:(117, 0, 0) blockIdx:(5, 0, 0) blockDim:(128, 1, 1) gridDim:(8, 1, 1)
threadIdx:(118, 0, 0) blockIdx:(5, 0, 0) blockDim:(128, 1, 1) gridDim:(8, 1, 1)
threadIdx:(119, 0, 0) blockIdx:(5, 0, 0) blockDim:(128, 1, 1) gridDim:(8, 1, 1)
threadIdx:(120, 0, 0) blockIdx:(5, 0, 0) blockDim:(128, 1, 1) gridDim:(8, 1, 1)
threadIdx:(121, 0, 0) blockIdx:(5, 0, 0) blockDim:(128, 1, 1) gridDim:(8, 1, 1)
threadIdx:(122, 0, 0) blockIdx:(5, 0, 0) blockDim:(128, 1, 1) gridDim:(8, 1, 1)
threadIdx:(123, 0, 0) blockIdx:(5, 0, 0) blockDim:(128, 1, 1) gridDim:(8, 1, 1)
threadIdx:(124, 0, 0) blockIdx:(5, 0, 0) blockDim:(128, 1, 1) gridDim:(8, 1, 1)
threadIdx:(125, 0, 0) blockIdx:(5, 0, 0) blockDim:(128, 1, 1) gridDim:(8, 1, 1)
threadIdx:(126, 0, 0) blockIdx:(5, 0, 0) blockDim:(128, 1, 1) gridDim:(8, 1, 1)
